GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,date,event_text,month,cluster_id
1170213814,20240416,202404,2024,2024.2904,MIL,FIGHTER JET,,,,,,MIL,,,YEM,YEMEN,YEM,,,,,,,,1,195,195,19,4,-10.0,6,1,6,-7.32323232323232,1,Yemen,YM,YM,15.5,47.5,YM,1,Yemen,YM,YM,15.5,47.5,YM,4,"Red Sea, Djibouti (general), Djibouti",DJ,DJ00,19.0,39.5,-2037160,20240416,https://www.yahoo.com/news/us-navy-fired-off-nearly-191932661.html,2024-04-16,Crisis event: FIGHTER JET and YEMEN involved in incident at DJ00. Event type code 19.,2024-04,-1
1153134575,20240122,202401,2024,2024.0603,BUS,AIRLINE,,,,,,BUS,,,USA,SAN FRANCISCO,USA,,,,,,,,1,190,190,19,4,-10.0,16,2,16,-3.32765575974899,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20240122,https://www.zerohedge.com/markets/diverse-incompetent-comedian-rob-schneider-pens-open-letter-calling-out-drag-queen-ceo,2024-01-22,Crisis event: AIRLINE and SAN FRANCISCO involved in incident at USAK. Event type code 19.,2024-01,3
1167520126,20240403,202404,2024,2024.2548,SYR,SYRIA,SYR,,,,,,,,MIL,FIGHTER JET,,,,,,MIL,,,1,194,194,19,4,-10.0,4,1,4,-4.78749262127157,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,20240403,https://www.dw.com/en/iranian-embassy-attack-in-syria-five-questions-answered/a-68726461,2024-04-03,Crisis event: SYRIA and FIGHTER JET involved in incident at IR26. Event type code 19.,2024-04,-1
1198212944,20240913,202409,2024,2024.6932,CAN,SASKATCHEWAN,CAN,,,,,,,,,,,,,,,,,,1,192,192,19,4,-9.5,6,1,6,-1.67130919220056,2,"Montana, United States",US,USMT,46.9048,-110.326,MT,0,,,,,,,2,"Montana, United States",US,USMT,46.9048,-110.326,MT,20240913,https://discoverestevan.com/articles/storms-clear-out-as-southeast-prepares-for-a-sunny-and-warm-weekend,2024-09-13,Crisis event: SASKATCHEWAN and nan involved in incident at USMT. Event type code 19.,2024-09,-1
1158097815,20240216,202402,2024,2024.126,NGOHRIHRW,HUMAN RIGHTS WATCH,,HRW,,,,NGO,HRI,,HLH,HOSPITAL,,,,,,HLH,,,1,193,193,19,4,-10.0,2,1,2,-4.48132780082987,4,"Lake Muskoka, Ontario, Canada",CA,CA08,45.0333,-79.45,-569813,1,Sri Lanka,CE,CE,7.0,81.0,CE,1,Sri Lanka,CE,CE,7.0,81.0,CE,20240216,http://slguardian.org/garys-hypocrisy-and-political-cowardice/,2024-02-16,Crisis event: HUMAN RIGHTS WATCH and HOSPITAL involved in incident at CE. Event type code 19.,2024-02,0
1187594121,20240717,202407,2024,2024.5397,MNCUSA,BOEING,USA,,,,,MNC,,,REB,REBEL,,,,,,REB,,,0,190,190,19,4,-10.0,3,3,3,-7.06405973450974,4,"Long Island, Perak, Malaysia",MY,MY07,4.2284,100.534,-2402725,4,"Long Island, Perak, Malaysia",MY,MY07,4.2284,100.534,-2402725,4,"Long Island, Perak, Malaysia",MY,MY07,4.2284,100.534,-2402725,20240717,https://www.yourdailyjournal.com/news/195052/this-day-in-history,2024-07-17,Crisis event: BOEING and REBEL involved in incident at MY07. Event type code 19.,2024-07,-1
1182560402,20240619,202406,2024,2024.463,CAN,SASKATCHEWAN,CAN,,,,,,,,,,,,,,,,,,1,193,193,19,4,-10.0,100,24,76,-4.73855969676209,4,"Saskatchewan, Manitoba, Canada",CA,CA03,52.15,-97.7167,-575075,0,,,,,,,4,"Saskatchewan, Manitoba, Canada",CA,CA03,52.15,-97.7167,-575075,20240619,https://medicinehatnews.com/news/national-news/2024/06/18/former-saskatchewan-mountie-sentenced-to-11-years-for-shooting-death-of-lover/,2024-06-19,Crisis event: SASKATCHEWAN and nan involved in incident at CA03. Event type code 19.,2024-06,-1
1149916853,20240105,202401,2024,2024.0137,MIL,FIGHTER JET,,,,,,MIL,,,LBN,LEBANON,LBN,,,,,,,,0,190,190,19,4,-10.0,30,5,30,-6.95151092087988,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Beirut, Beyrouth, Lebanon",LE,LE04,33.8719,35.5097,-801546,4,"Beirut, Beyrouth, Lebanon",LE,LE04,33.8719,35.5097,-801546,20240105,https://www.arabnews.com/node/2436701/middle-east,2024-01-05,Crisis event: FIGHTER JET and LEBANON involved in incident at LE04. Event type code 19.,2024-01,0
1201254959,20240930,202409,2024,2024.7397,ISRMIL,ISRAELI,ISR,,,,,MIL,,,MIL,FIGHTER JET,,,,,,MIL,,,0,173,173,17,4,-5.0,6,1,6,-1.2641383898869,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20240930,https://www.browndailyherald.com/article/2024/09/these-are-the-10-companies-student-activists-want-brown-to-divest-from,2024-09-30,Crisis event: ISRAELI and FIGHTER JET involved in incident at IS00. Event type code 17.,2024-09,-1
1171953217,20240425,202404,2024,2024.3151,,,,,,,,,,,MNCUSA,BOEING,USA,,,,,MNC,,,0,190,190,19,4,-10.0,6,1,6,-5.15901060070671,0,,,,,,,3,"Arlington, Texas, United States",US,USTX,32.7357,-97.1081,1372320,3,"Arlington, Texas, United States",US,USTX,32.7357,-97.1081,1372320,20240425,https://www.seattletimes.com/business/as-doj-weighs-reviving-boeing-prosecution-max-crash-families-disheartened/,2024-04-25,Crisis event: nan and BOEING involved in incident at USTX. Event type code 19.,2024-04,-1
