GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long
1149161030,20240101,202401,2024,2024.0027,BUS,AIRLINE,,,,,,BUS,,,KWTBUS,KUWAIT,KWT,,,,,BUS,,,1,173,173,17,4,-5.0,3,1,3,4.24929178470255,4,"Karlovy Vary, Karlovarský, Czech Republic",EZ,EZ81,50.237,12.875,-547025,4,"Karlovy Vary, Karlovarský, Czech Republic",EZ,EZ81,50.237,12.875,-547025,4,"Karlovy Vary, Karlovarský, Czech Republic",EZ,EZ81,50.237,12.875,-547025,20240101,https://www.ttnworldwide.com/Article/354122/-Best-of-Czech-attractions-showcased-at-Mideast-roadshow
1149161032,20240101,202401,2024,2024.0027,BUS,AIRLINE,,,,,,BUS,,,QAT,QATAR,QAT,,,,,,,,1,173,173,17,4,-5.0,2,1,2,4.24929178470255,4,"Karlovy Vary, Karlovarský, Czech Republic",EZ,EZ81,50.237,12.875,-547025,4,"Karlovy Vary, Karlovarský, Czech Republic",EZ,EZ81,50.237,12.875,-547025,4,"Karlovy Vary, Karlovarský, Czech Republic",EZ,EZ81,50.237,12.875,-547025,20240101,https://www.ttnworldwide.com/Article/354122/-Best-of-Czech-attractions-showcased-at-Mideast-roadshow
1149161033,20240101,202401,2024,2024.0027,BUS,AIRLINE,,,,,,BUS,,,QATBUS,DOHA,QAT,,,,,BUS,,,1,173,173,17,4,-5.0,5,1,5,4.24929178470255,4,"Karlovy Vary, Karlovarský, Czech Republic",EZ,EZ81,50.237,12.875,-547025,4,"Karlovy Vary, Karlovarský, Czech Republic",EZ,EZ81,50.237,12.875,-547025,4,"Karlovy Vary, Karlovarský, Czech Republic",EZ,EZ81,50.237,12.875,-547025,20240101,https://www.ttnworldwide.com/Article/354122/-Best-of-Czech-attractions-showcased-at-Mideast-roadshow
1149173241,20240101,202401,2024,2024.0027,BUS,AIRLINE,,,,,,BUS,,,CAN,CANADA,CAN,,,,,,,,0,195,195,19,4,-10.0,1,1,1,3.5671100362757,4,"Bristol, Bristol, City of, United Kingdom",UK,UKB7,51.45,-2.58333,-2590919,4,"Bristol, Bristol, City of, United Kingdom",UK,UKB7,51.45,-2.58333,-2590919,4,"Bristol, Bristol, City of, United Kingdom",UK,UKB7,51.45,-2.58333,-2590919,20240101,https://www.bristolpost.co.uk/whats-on/whats-on-news/list-2024-bristol-theatre-shows-8907131
1149173242,20240101,202401,2024,2024.0027,BUS,AIRLINE,,,,,,BUS,,,CAN,CANADA,CAN,,,,,,,,0,195,195,19,4,-10.0,1,1,1,3.5671100362757,4,"Swan Lake, Manitoba, Canada",CA,CA03,49.4,-98.8,-574431,4,"Swan Lake, Manitoba, Canada",CA,CA03,49.4,-98.8,-574431,4,"Swan Lake, Manitoba, Canada",CA,CA03,49.4,-98.8,-574431,20240101,https://www.bristolpost.co.uk/whats-on/whats-on-news/list-2024-bristol-theatre-shows-8907131
1149174850,20240101,202401,2024,2024.0027,BUS,AIRLINE,,,,,,BUS,,,CYPGOV,NICOSIA,CYP,,,,,GOV,,,1,141,141,14,3,-6.5,10,1,10,-5.09383378016086,1,Cyprus,CY,CY,35.0,33.0,CY,1,Cyprus,CY,CY,35.0,33.0,CY,1,Cyprus,CY,CY,35.0,33.0,CY,20240101,https://eturbonews.com/axed-cyprus-airways-employees-stage-angry-protest/
1149176898,20240101,202401,2024,2024.0027,COP,POLICE,,,,,,COP,,,CRM,SNATCHER,,,,,,CRM,,,1,173,173,17,4,-5.0,2,1,2,-9.62343096234309,4,"Tirupur, Tamil Nadu, India",IN,IN25,11.1,77.35,-2113268,4,"Tirupur, Tamil Nadu, India",IN,IN25,11.1,77.35,-2113268,4,"Tirupur, Tamil Nadu, India",IN,IN25,11.1,77.35,-2113268,20240101,https://timesofindia.indiatimes.com/city/ludhiana/mobile-phones-found-in-jail-ludhiana-officials-of-ludhiana-central-jail/articleshow/106430461.cms
1149177041,20240101,202401,2024,2024.0027,IND,LUDHIANA,IND,,,,,,,,CRM,SNATCHER,,,,,,CRM,,,1,173,173,17,4,-5.0,5,1,5,-9.62343096234309,4,"Tirupur, Tamil Nadu, India",IN,IN25,11.1,77.35,-2113268,4,"Tirupur, Tamil Nadu, India",IN,IN25,11.1,77.35,-2113268,4,"Tirupur, Tamil Nadu, India",IN,IN25,11.1,77.35,-2113268,20240101,https://timesofindia.indiatimes.com/city/ludhiana/mobile-phones-found-in-jail-ludhiana-officials-of-ludhiana-central-jail/articleshow/106430461.cms
1149183316,20240101,202401,2024,2024.0027,MIL,FIGHTER JET,,,,,,MIL,,,UAF,TERRORIST,,,,,,UAF,,,1,190,190,19,4,-10.0,10,4,10,-7.24580437254164,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20240101,https://www.havasunews.com/nation/death-toll-in-gaza-rises-as-israeli-attacks-continue-in-north-south/article_0f51dd06-a832-11ee-a126-6b0befc3222f.html
1149183335,20240101,202401,2024,2024.0027,NGOHRIHRW,HUMAN RIGHTS WATCH,,HRW,,,,NGO,HRI,,ISR,ISRAEL,ISR,,,,,,,,0,172,172,17,4,-5.0,10,1,10,-9.125,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20240101,https://www.kaieteurnewsonline.com/2024/01/01/israeli-bombardment-destroyed-over-70-of-gaza-homes-report/
